"word","zh","en_sentence","zh_sentence"
"husband","丈夫","My husband cooks dinner on weekends.","我的丈夫週末做晚餐。"
"wife","妻子","His wife teaches at the elementary school.","他的妻子在小學教書。"
"housewife","家庭主婦","The housewife cleans the house every morning.","那位家庭主婦每天早上打掃房子。"
"Miss","小姐","Miss Lin is our new English teacher.","林小姐是我們的新英語老師。"
"thirteen","十三","She is thirteen years old this year.","她今年十三歲。"
"fourteen","十四","He scored fourteen points in the game.","他在比賽中得到了十四分。"
"fifteen","十五","There are fifteen students in my class.","我的班上有十五位學生。"
"sixteen","十六","Sixteen birds sat on the fence.","有十六隻鳥坐在圍欄上。"
"seventeen","十七","They baked seventeen cookies for the party.","他們為派對烤了十七塊餅乾。"
"eighteen","十八","My sister turned eighteen last month.","我妹妹上個月滿十八歲。"
"nineteen","十九","Nineteen fish swam in the pond.","池塘裡有十九條魚游泳。"
"twenty","二十","Twenty students walked to school together.","二十名學生一起走去學校。"
"thirty","三十","The street is thirty meters long.","那條街有三十公尺長。"
"forty","四十","He picked forty apples from the tree.","他從樹上摘了四十顆蘋果。"
"fifty","五十","She saved fifty dollars for the trip.","她為這趟旅行存了五十元。"
"sixty","六十","It takes sixty minutes to finish this task.","完成這項任務需要六十分鐘。"
"seventy","七十","Seventy people attended the meeting.","有七十個人參加了會議。"
"eighty","八十","The road is eighty kilometers long.","這條路有八十公里長。"
"ninety","九十","She read ninety pages of the book.","她讀了這本書的九十頁。"
"thousand","千","They sold a thousand tickets for the concert.","他們為音樂會賣出了一千張票。"
"number","號碼","Please write your phone number here.","請在這裡寫下你的電話號碼。"
"workbook","作業本","Open your workbook to page ten.","請打開你的作業本到第十頁。"
"brush","刷子；刷(牙)","Use a brush to clean the whiteboard.","用刷子清潔白板。"
"cellphone","手機","Her cellphone rang during class.","她的手機在上課時響了。"
"scooter","踏板車；摩托車","He rides his scooter to the park.","他騎踏板車去公園。"
"party","派對","They have a birthday party on Saturday.","他們星期六有一場生日派對。"
"gift","禮物","She wrapped the gift for her friend.","她把禮物包好送給朋友。"
"noon","中午","We eat lunch at noon every day.","我們每天中午吃午餐。"
"break","打破；折斷","Be careful not to break the glass.","小心別把玻璃杯打破。"
"pretty","漂亮的","That flower is very pretty.","那朵花非常漂亮。"
"able","能；有能力的","She is able to solve the problem quickly.","她能很快地解決這個問題。"
