英文,中文,英文例句,中文例句
travel,旅行,I love to travel around the world.,我喜歡環遊世界。
trip,旅程,We are planning a trip to Japan.,我們正在計畫去日本旅行。
vacation,假期,I'm going on vacation next week.,我下週要去度假。
hotel,飯店,We stayed at a nice hotel.,我們住在一間不錯的飯店。
airport,機場,The airport is far from the city.,機場離城市很遠.
airplane,飛機,The airplane will take off soon.,飛機即將起飛。
ticket,機票,I need to buy a plane ticket.,我需要買機票。
passport,護照,Don't forget your passport.,別忘了你的護照。
luggage,行李,I have two pieces of luggage.,我有兩件行李。
suitcase,行李箱,My suitcase is too heavy.,我的行李箱太重了。
backpack,背包,I carry my backpack when traveling.,旅行時我背背包。
map,地圖,We need a map to find the hotel.,我們需要地圖來找飯店。
guide,導遊,The tour guide is very helpful.,導遊很有幫助。
tour,旅遊,We went on a tour of the city.,我們去城市旅遊。
sightseeing,觀光,We went sightseeing yesterday.,我們昨天去觀光。
tourist,遊客,Many tourists visit this place.,很多遊客參觀這個地方。
beach,海灘,We spent the day at the beach.,我們在海灘度過了一天。
ocean,海洋,The ocean is beautiful.,海洋很美麗。
mountain,山,We climbed the mountain yesterday.,我們昨天爬了山。
forest,森林,The forest is full of trees.,森林充滿了樹木。
river,河流,The river flows through the city.,河流流經城市。
lake,湖泊,The lake is very calm.,湖泊很平靜。
island,島嶼,We visited a beautiful island.,我們參觀了一座美麗的島嶼.
desert,沙漠,The desert is very hot.,沙漠很熱。
camp,露營,We go camping every summer.,我們每年夏天去露營.
tent,帳篷,We set up a tent in the forest.,我們在森林裡搭帳篷.
campfire,營火,We sat around the campfire.,我們圍坐在營火旁.
hiking,健行,I enjoy hiking in the mountains.,我喜歡在山裡健行.
swimming,游泳,Swimming is good exercise.,游泳是很好的運動.
sunbathing,日光浴,She likes sunbathing on the beach.,她喜歡在海灘日光浴.
snorkeling,浮潛,We went snorkeling in the ocean.,我們在海裡浮潛.
diving,潛水,Scuba diving is exciting.,水肺潛水很刺激.
surfing,衝浪,He loves surfing in the ocean.,他喜歡在海裡衝浪.
skiing,滑雪,We go skiing in winter.,我們冬天去滑雪.
snowboarding,滑雪板,Snowboarding is popular.,滑雪板很受歡迎.
cruise,郵輪,We took a cruise to Alaska.,我們搭郵輪去阿拉斯加.
ship,船,The ship sailed across the ocean.,船隻橫越海洋.
boat,小船,We rented a small boat.,我們租了一艘小船.
ferry,渡輪,We took the ferry to the island.,我們搭渡輪去島上.
train,火車,The train ride was comfortable.,火車旅程很舒適.
subway,地鐵,The subway is fast and convenient.,地鐵快速又方便.
taxi,計程車,We took a taxi to the hotel.,我們搭計程車去飯店.
bus,公車,The bus tour was interesting.,公車旅遊很有趣.
rental car,租車,We rented a car for the trip.,我們為了旅行租了車.
gas station,加油站,We stopped at the gas station.,我們在加油站停下.
restaurant,餐廳,The restaurant serves good food.,這家餐廳提供好吃的食物.
cafe,咖啡廳,We had coffee at a cafe.,我們在咖啡廳喝咖啡.
menu,菜單,Can I see the menu?,我可以看菜單嗎？
waiter,服務生,The waiter was very polite.,服務生很有禮貌.
bill,帳單,Can I have the bill, please?,請給我帳單？
tip,小費,I left a tip for the waiter.,我給服務生小費.
currency,貨幣,What is the local currency?,當地貨幣是什麼？
exchange,兌換,I need to exchange money.,我需要兌換錢。
souvenir,紀念品,I bought a souvenir for my family.,我買了紀念品給家人。
photo,照片,I took many photos on the trip.,我在旅行中拍了很多照片。
camera,相機,My camera takes great pictures.,我的相機拍出很棒的照片。
memory,回憶,This trip created beautiful memories.,這次旅行創造了美麗的回憶。
adventure,冒險,Life is an adventure.,生活是一場冒險。
explore,探索,Let's explore the city.,我們來探索這個城市。
discover,發現,We discovered a hidden beach.,我們發現了一個隱藏的海灘.
journey,旅程,The journey was long but worth it.,旅程很長但值得。
destination,目的地,What is your destination?,你的目的地是哪裡？
itinerary,行程,Our itinerary is full of activities.,我們的行程充滿了活動。
schedule,時間表,Check the schedule for the tour.,查看旅遊的時間表。
booking,預訂,I made a booking for the hotel.,我預訂了飯店。
reservation,預約,Do you have a reservation?,你有預約嗎？
check-in,登機,Check-in starts at 3 PM.,下午3點開始辦理登機。
check-out,退房,Check-out time is 11 AM.,退房時間是上午11點。
reception,櫃檯,The reception is on the first floor.,櫃檯在一樓。
lobby,大廳,We waited in the hotel lobby.,我們在飯店大廳等候。
room service,客房服務,I ordered room service.,我點了客房服務.
breakfast,早餐,The hotel serves free breakfast.,飯店提供免費早餐。
buffet,自助餐,We had dinner at the buffet.,我們在自助餐吃晚餐.
swimming pool,游泳池,The hotel has a swimming pool.,飯店有游泳池。
gym,健身房,I exercise in the gym every morning.,我每天早上在健身房運動.
spa,水療,The spa offers massages.,水療中心提供按摩。
