word,zh,en_sentence,zh_sentence
basket,籃子,I carry apples in a basket to the picnic.,我用籃子把蘋果帶到野餐。
church,教堂,We go to church on Sunday morning.,我們星期天早上去教堂。
hunt,打獵,My grandfather used to hunt in the forest.,我爺爺以前在森林裡打獵。
roll,滾動；晃動,The ball will roll down the hill.,球會從小山滾下來。
hang,掛；懸吊,Please hang your coat on that hook.,請把外套掛在那個掛勾上。
snack,點心；小吃,I eat a snack after school every day.,我每天放學後都吃點心。
tool,工具,He uses a tool to fix the bike.,他用工具修理自行車。
letter,信；字母,I write a letter to my friend every week.,我每週都給朋友寫一封信。
envelope,信封,Put the letter inside the envelope.,把信放進信封裡。
ground,地面,The children sit on the ground to play.,孩子們坐在地面上玩。
R.O.C.,中華民國,The flag of the R.O.C. flies on the building.,中華民國的國旗飄揚在那棟建築上。
world,世界,He dreams of traveling around the world.,他夢想環遊世界。
seed,種子,She plants a seed in the pot.,她在花盆裡種下一粒種子。
other,其他,I have no other ideas right now.,目前我沒有其他想法。
taste,味道；嚐,Please taste the soup and tell me if it needs salt.,請嚐嚐湯，告訴我是否需要加鹽。
smell,氣味；聞,I smell cookies baking in the oven.,我聞到烤箱裡餅乾的香味。
sound,聲音；聽,Do you hear the sound of birds in the morning?,你聽到早晨鳥兒的聲音嗎？
feel,感覺,I feel cold when I go outside without a coat.,如果我不穿外套出門，我會感到寒冷。
large,大的,They lived in a large house near the lake.,他們住在靠近湖邊的一棟大房子裡。
heavy,重的,This box is too heavy for me to lift.,這個箱子對我來說太重了，無法抬起。
try,試做,I will try my best on the exam.,我會在考試中盡力而為。
comfortable,舒適的,This chair is very comfortable to sit on.,這張椅子坐起來非常舒適。
successful,成功的,She felt successful after finishing the race.,她跑完比賽後感到很成功。
famous,有名的,The famous singer visited our school.,那位有名的歌手來訪我們學校。
care,關心；喜歡,She takes care of her little brother every day.,她每天照顧她的弟弟。
careful,小心的,Be careful when you cross the street.,過馬路時要小心。
friendly,友善的,The neighbors are very friendly to us.,鄰居對我們非常友善。
fresh,新鮮的,We picked fresh strawberries from the farm.,我們從農場採摘了新鮮的草莓。
sweet,甜美的,The cake tastes sweet and soft.,蛋糕嘗起來甜美又鬆軟。
each,每一；每個,Each student must bring a pencil to class.,每個學生都必須帶鉛筆來上課。
swing,搖擺；鞦韆,The children love to swing at the playground.,孩子們喜歡在遊樂場的鞦韆上搖擺。
slide,滑動；滑坡,Please slide the door open slowly.,請慢慢地把門滑開。
hide,躲藏,He likes to hide behind the tree during games.,他喜歡在遊戲時躲在樹後面。
restaurant,餐廳,We celebrate our birthday at a restaurant.,我們在餐廳慶祝生日。
drop,掉落；滴下,Be careful not to drop the vase.,小心別把花瓶掉落。
move,搬；感動,Please help me move the table to the corner.,請幫我把桌子搬到角落。
paste,黏貼,Paste the picture into your notebook.,把圖片黏貼到你的筆記本上。
become,變成；成為,He wants to become a doctor when he grows up.,他長大後想成為一名醫生。
around,在…附近,There are many shops around the school.,學校附近有很多商店。
more,更多的,I want more pages to read.,我想要更多頁面來閱讀。
most,最多的；多數的,She has the most stickers in the class.,她在班上擁有最多的貼紙。
whose,誰的,Whose backpack is this on the desk?,桌上的書包是誰的？
than,比,My brother is taller than me.,我哥哥比我高。
heart,心臟,My heart beats fast when I run.,我跑步時心臟跳得很快。
arm,手臂,He holds the book in his arm.,他用手臂抱著書。
nail,指甲,Please clean under your nails after playing.,玩完後請把指甲底下清乾淨。
knee,膝蓋,He fell and hurt his knee during the game.,他在遊戲中跌倒，膝蓋受傷了。
shoulder,肩膀,Carry your bag on one shoulder.,把書包掛在一邊肩膀上。
part,部分,This is the best part of the story.,這是故事中最精彩的部分。
rest,休息,Take a rest before you continue studying.,在繼續學習前先休息一下。
screen,螢幕,The teacher shows the video on the screen.,老師在螢幕上播放影片。
puppy,幼犬,The puppy plays with a ball in the yard.,幼犬在院子裡玩球。
lid,蓋子,Put the lid on the jar after you finish.,用完後把蓋子蓋上罐子。
cage,籠子,The bird sings in its cage every morning.,那隻鳥每天早上在籠子裡唱歌。
sight,視力；景象,The mountain view is a beautiful sight.,那座山的景象非常美麗。
secretary,秘書,The secretary answers phone calls at the office.,秘書在辦公室接電話。
list,清單,Write a list of things you need to buy.,寫一張你需要購買物品的清單。
pair,一雙；一對,I bought a new pair of shoes today.,我今天買了一雙新鞋。
pin,大頭針；別針,Use a pin to attach the note to the board.,用大頭針把便條釘在板子上。
pipe,水管,The plumber fixed the broken pipe under the sink.,水電工修好了水槽下壞掉的水管。
medium,中等的,He likes his coffee at medium temperature.,他喜歡中等溫度的咖啡。
married,已婚的,My aunt is married to a doctor.,我的阿姨已婚，她的丈夫是一位醫生。
modern,現代的；時髦的,They live in a modern house with big windows.,他們住在一棟有大窗戶的現代房子裡。
foreign,外國的,She studies foreign languages at school.,她在學校學習外國語。
national,國家的,They fly the national flag at the town square.,他們在鎮廣場上升起國旗。
few,不多的；很少的,Only a few students stayed after class for help.,只有少數學生下課後留下來請教。
useful,實用的,This dictionary is very useful for learning new words.,這本字典對學習新單字非常實用。
helpful,有幫助的,The tutor gave me helpful tips for studying.,家教給了我一些有幫助的學習建議。
least,最少的,She finished her homework in the least amount of time.,她用最少的時間完成了作業。
blind,盲的,The blind student reads with a special device.,那位盲人學生用特殊設備閱讀。
tidy,整齊的；整理,Please tidy your desk before you leave.,離開前請整理好你的書桌。
believe,相信,I believe in working hard to achieve my goals.,我相信努力工作可以實現我的目標。
celebrate,慶祝,We celebrate Teacher's Day with a small party.,我們用小型派對慶祝教師節。
laugh,笑,They laugh at the funny joke during recess.,課間休息時他們因為那個好笑的笑話而笑。
